student_id,class_id
1,2156
1,2158
1,261
1,391
2,1313
2,290
2,291
2,397
2,729
2,867
3,1325
3,471
3,728
3,867
4,109
4,111
4,1809
4,1874
4,1922
4,247
4,422
4,423
4,799
5,281
6,1936
6,1937
6,429
6,430
6,431
6,432
7,127
7,131
7,1459
7,1467
7,186
8,874
8,877
8,878
8,879
8,880
8,881
8,882
8,883
8,884
8,885
8,886
8,887
8,888
8,889
9,1364
9,219
9,220
9,2445
9,462
9,662
10,1944
10,1947
10,509
10,510
11,1322
11,416
11,867
12,147
12,148
12,299
12,300
12,301
12,302
12,874
12,875
13,1738
13,2408
13,729
13,857
14,428
14,485
14,62
15,729
16,428
16,820
16,838
17,118
17,120
17,121
17,262
17,264
17,449
18,288
18,545
18,723
18,738
18,739
18,748
18,749
19,286
19,287
19,633
19,634
19,734
19,747
19,749
20,693
20,694
20,696
20,697
21,806
22,459
22,466
23,198
24,322
24,645
25,2276
25,296
25,586
26,1265
26,363
27,603
28,1188
28,1244
28,1250
28,1368
28,2452
28,627
29,1379
29,273
29,500
29,501
30,109
30,115
30,1356
30,2141
30,2142
30,2143
30,2429
30,484
31,561
32,1006
32,611
33,698
33,699
33,701
34,792
35,603
36,127
36,718
37,1205
37,344
37,348
37,352
37,376
38,1675
38,1676
38,1684
38,1687
38,292
38,373
39,651
39,658
40,156
40,474
40,651
41,107
41,729
41,789
42,1964
42,493
42,515
43,143
43,144
43,145
43,146
43,149
43,150
43,873
43,874
43,876
44,1751
44,655
45,118
46,674
46,675
47,450
47,88
48,122
48,128
48,20
48,73
49,1163
49,151
49,265
49,73
50,1960
50,1964
50,515
50,518
51,1975
51,1989
51,2265
51,399
52,719
52,821
52,849
53,526
53,530
53,531
54,2101
54,2114
54,790
54,844
55,487
56,1214
56,2382
56,379
56,523
56,524
56,525
56,529
57,1090
57,1706
57,449
57,60
58,659
59,1112
59,266
59,267
59,501
60,296
60,493
61,1716
61,61
61,911
62,293
62,66
63,350
63,351
63,352
63,803
63,835
64,2397
64,500
64,679
64,681
64,683
64,684
65,551
65,83
65,85
65,86
66,1097
66,763
66,764
67,806
67,814
67,894
68,1214
68,156
68,169
68,173
68,573
69,716
70,118
70,428
70,692
70,702
70,732
71,2135
71,2136
71,2137
71,2138
71,293
71,294
71,860
72,296
72,569
72,604
73,1150
73,2350
73,317
73,33
74,273
74,500
74,501
74,677
75,1069
75,621
76,874
76,877
76,878
76,879
76,880
76,881
76,882
76,883
76,884
76,885
76,886
76,887
76,888
76,889
77,420
77,803
77,810
77,812
77,856
78,2400
78,693
78,697
78,700
79,1310
79,867
80,387
80,389
80,487
81,468
81,487
82,26
82,27
82,29
82,30
82,31
83,1851
83,1855
83,1856
83,1860
83,215
84,329
84,476
84,494
85,120
85,121
85,465
86,874
86,877
86,878
86,879
86,880
86,881
86,882
86,883
86,884
86,885
86,886
86,887
86,888
86,889
87,2402
87,551
88,193
88,194
88,198
88,199
88,2296
88,870
89,175
89,470
89,655
89,662
90,1647
90,1648
90,203
90,204
91,1094
91,78
92,603
93,1960
93,1964
93,518
94,7
94,9
95,288
95,545
95,723
95,738
95,739
95,748
95,749
96,147
96,148
96,299
96,300
96,301
96,302
96,874
96,875
97,542
97,718
97,719
97,798
98,344
98,356
98,773
99,1924
99,1925
99,1926
99,1927
99,1929
99,1932
99,1952
99,2373
99,273
99,499
100,768
100,769
101,1263
101,363
102,250
102,68
103,587
103,594
103,600
103,667
104,1361
104,229
104,231
104,2440
104,703
105,381
105,656
106,1031
106,544
106,615
107,352
107,358
107,421
107,661
108,153
108,419
109,793
109,835
110,1311
110,1734
110,1743
110,867
111,1440
111,182
111,439
111,460
111,871
112,265
112,449
112,72
113,294
113,314
113,657
114,551
114,556
115,588
115,599
116,292
117,197
117,310
118,222
118,224
118,2311
119,1102
119,551
119,78
120,418
120,457
120,804
120,810
120,821
120,851
121,816
122,52
122,54
122,781
122,89
122,92
123,1303
123,1770
123,1771
123,1785
123,209
123,210
123,848
123,867
124,853
124,856
125,538
126,2066
126,62
127,662
128,2393
128,646
128,852
129,1210
129,1213
129,266
129,269
129,772
130,22
130,558
131,1385
131,169
131,729
132,655
132,673
133,542
134,586
134,595
134,599
135,72
135,802
135,823
136,285
136,804
136,818
136,823
137,2144
137,2145
137,28
137,710
137,726
138,1245
138,628
139,318
139,468
140,1145
140,1893
140,2350
140,311
140,317
140,33
141,272
141,275
141,822
141,91
141,92
142,2130
142,2132
142,441
142,442
142,464
143,428
143,712
143,717
144,1712
144,28
144,45
144,60
145,1339
145,19
145,379
145,653
146,1249
146,2389
146,63
147,442
148,118
148,273
148,428
148,487
149,477
149,822
150,22
150,296
150,488
150,713
150,718
151,294
151,296
151,551
152,206
152,207
152,662
152,837
153,1904
153,818
154,729
155,207
155,208
156,2354
156,325
156,951
157,12
157,458
157,9
158,232
159,1696
159,196
159,2299
159,246
159,458
159,459
160,584
161,698
161,699
161,701
162,167
162,590
162,599
163,286
163,287
163,633
163,634
163,747
163,749
164,457
165,294
165,661
166,698
166,699
166,701
167,454
168,82
168,85
168,86
168,87
169,82
169,87
169,88
170,543
170,631
170,632
170,686
170,722
170,733
170,740
170,743
170,746
170,749
171,288
171,545
171,723
171,735
171,738
171,739
171,748
171,749
172,2018
172,2022
172,2026
172,333
172,391
173,286
173,287
173,633
173,634
173,734
173,747
173,749
174,1888
174,605
174,716
174,720
175,307
175,312
175,314
176,798
177,205
177,208
178,110
178,116
178,702
178,725
178,820
178,848
179,450
179,674
180,178
181,540
182,288
182,545
182,723
182,738
182,739
182,748
182,749
183,1694
183,2133
183,2134
183,246
183,89
183,94
184,179
185,1712
185,328
185,375
185,476
185,60
186,236
186,237
186,274
186,276
186,44
187,1231
187,351
187,352
187,359
188,1384
188,170
188,171
188,172
188,173
188,174
189,2340
189,2342
189,297
189,298
189,466
190,285
190,296
190,461
190,783
191,664
192,120
192,121
192,2397
192,681
192,683
193,2135
193,2136
193,856
194,318
194,805
195,205
195,708
196,377
196,471
196,476
196,729
197,236
197,274
197,276
197,379
197,772
198,532
198,533
198,535
198,536
198,572
199,120
199,121
199,1244
199,810
200,167
200,790
201,526
201,530
201,531
201,537
201,815
201,816
202,1647
202,1649
202,205
203,1856
203,1860
203,213
204,278
204,279
205,590
205,599
206,784
207,527
207,590
207,595
208,359
208,361
208,459
209,664
210,62
210,784
210,856
211,1668
211,1670
211,1691
211,373
211,784
211,857
212,19
212,2103
213,1888
213,309
213,436
214,1904
214,294
214,439
214,499
214,604
214,77
215,1893
215,297
216,2082
216,2084
216,2086
216,2087
216,2106
216,81
217,710
218,725
219,610
219,644
219,81
219,996
220,1642
220,370
220,642
220,713
221,363
222,725
223,542
224,176
225,711
226,486
226,784
227,551
228,286
228,287
228,633
228,634
228,747
228,749
229,474
230,685
231,1808
231,601
232,1159
232,488
233,829
234,297
234,450
234,780
234,784
235,837
235,88
236,166
236,571
237,719
237,804
237,818
238,1552
238,1566
238,1568
238,17
238,190
239,154
239,156
239,166
239,169
240,2009
240,2014
240,262
240,264
240,499
241,359
241,360
242,1673
242,1674
242,1689
242,373
242,418
242,498
243,322
243,358
243,360
244,167
244,450
244,849
245,2454
245,2455
245,393
245,47
245,50
246,286
246,287
246,633
246,634
246,747
246,749
247,359
248,1203
248,167
249,236
249,238
249,239
249,240
249,330
249,376
250,167
250,584
250,589
250,600
251,557
252,708
253,1207
253,234
253,235
253,270
253,770
254,1816
254,2400
254,700
254,725
254,846
255,450
255,633
255,634
256,581
256,792
257,21
257,449
257,58
258,1158
258,1343
258,378
259,1888
259,1892
259,309
260,353
260,464
261,110
261,115
261,273
261,500
261,501
262,323
262,324
262,552
263,1207
263,1218
263,377
264,558
264,784
265,796
265,803
265,810
266,1056
266,378
266,619
267,698
267,699
267,701
268,1740
268,1753
268,863
269,386
269,390
270,698
270,699
270,701
271,1144
271,247
271,322
271,377
271,379
271,650
272,10
272,1263
273,656
273,705
274,85
274,88
275,473
275,476
275,837
275,860
276,1887
276,1893
276,1904
276,725
277,1015
277,1477
277,1486
277,187
277,612
278,296
279,288
279,545
279,723
279,736
279,738
279,739
279,748
279,749
280,589
280,601
281,1735
281,844
281,853
281,856
282,109
282,112
282,821
282,822
283,15
284,1167
284,234
284,235
284,256
284,623
284,772
285,2346
285,295
285,812
285,816
286,729
287,1556
287,1557
287,1560
287,811
287,812
288,353
288,359
289,2019
289,2023
289,2027
289,333
289,391
289,911
290,693
290,694
290,696
290,697
291,1925
291,1926
291,1927
291,1930
291,1933
291,1937
291,2374
291,432
292,1892
292,313
292,315
292,316
292,932
293,23
294,322
294,555
294,556
295,165
295,174
296,296
296,450
297,1813
297,720
298,474
299,527
299,671
300,374
300,542
301,29
301,30
301,33
301,842
302,297
302,298
303,326
303,473
303,477
303,849
304,1349
304,1893
304,1905
304,2415
304,315
304,316
305,293
306,17
306,499
306,808
307,313
307,314
307,657
307,661
307,720
308,23
308,462
308,468
308,797
308,838
309,286
309,287
309,633
309,634
309,688
309,689
309,747
309,749
310,344
310,348
310,350
311,118
311,812
311,815
312,637
312,638
313,62
314,1955
314,1960
314,1964
314,308
314,515
314,517
